x_values,total_1,total_2
0,1000,1000
1,1000,1001
2,999,998
3,993,999
4,995,995
5,989,994
6,990,994
7,996,992
8,1002,992
9,1010,992
10,1015,992
11,1022,998
12,1025,998
13,1030,1004
14,1032,1008
15,1026,1013
16,1026,1014
17,1021,1016
18,1026,1022
19,1020,1028
20,1018,1031
21,1015,1026
22,1022,1032
23,1022,1038
24,1030,1040
25,1032,1046
26,1039,1052
27,1046,1056
28,1053,1054
29,1061,1051
30,1057,1049
31,1051,1045
32,1049,1048
33,1044,1051
34,1044,1055
35,1039,1059
36,1033,1058
37,1037,1061
38,1042,1056
39,1045,1054
40,1041,1057
41,1041,1057
42,1045,1052
43,1046,1057
44,1054,1052
45,1060,1055
46,1061,1059
47,1067,1057
48,1075,1054
49,1080,1052
50,1079,1055
51,1083,1051
52,1088,1047
53,1089,1042
54,1089,1042
55,1085,1039
56,1084,1042
57,1089,1042
58,1097,1037
59,1095,1034
60,1094,1040
61,1098,1038
62,1099,1044
63,1107,1048
64,1113,1043
65,1121,1049
66,1122,1052
67,1117,1050
68,1114,1053
69,1113,1052
70,1115,1054
71,1118,1059
72,1112,1063
73,1117,1062
74,1116,1057
75,1120,1063
76,1115,1061
77,1113,1061
78,1112,1067
79,1108,1063
80,1111,1067
81,1112,1068
82,1119,1072
83,1121,1067
84,1125,1067
85,1122,1071
86,1129,1066
87,1136,1068
88,1142,1072
89,1144,1070
90,1151,1072
91,1149,1070
92,1153,1073
93,1154,1076
94,1161,1071
95,1155,1075
96,1152,1081
97,1146,1079
98,1153,1082
99,1151,1087
100,1156,1091
101,1152,1097
102,1154,1094
103,1149,1094
104,1155,1095
105,1152,1092
106,1156,1092
107,1156,1096
108,1150,1096
109,1148,1093
110,1154,1097
111,1150,1096
112,1151,1100
113,1145,1095
114,1142,1099
115,1150,1097
116,1144,1096
117,1143,1091
118,1141,1097
119,1146,1094
120,1149,1095
121,1152,1091
122,1158,1096
123,1159,1094
124,1165,1094
125,1168,1100
126,1173,1098
127,1173,1097
128,1175,1099
129,1173,1104
130,1170,1110
131,1173,1106
132,1168,1111
133,1168,1116
134,1167,1113
135,1167,1116
136,1167,1113
137,1169,1119
138,1167,1117
139,1170,1119
140,1175,1115
141,1178,1113
142,1182,1115
143,1186,1110
144,1194,1106
145,1192,1108
146,1196,1114
147,1192,1120
148,1198,1124
149,1201,1127
150,1206,1124
151,1209,1128
152,1205,1129
153,1207,1130
154,1207,1132
155,1212,1132
156,1214,1135
157,1209,1130
158,1212,1131
159,1211,1133
160,1206,1138
161,1213,1137
162,1217,1139
163,1213,1135
164,1217,1130
165,1223,1125
166,1221,1131
167,1218,1130
168,1214,1125
169,1211,1126
170,1211,1126
171,1207,1128
172,1204,1133
173,1210,1130
174,1209,1134
175,1207,1140
176,1207,1139
177,1205,1136
178,1204,1133
179,1199,1139
180,1204,1139
181,1212,1139
182,1215,1136
183,1218,1141
184,1224,1141
185,1224,1139
186,1222,1138
187,1222,1141
